site_name,site,long,lat
Twanoh,TW,-122.9734,47.37862
Potlatch,PO,-123.1558,47.3613
Lilliwaup,LL,-123.1054,47.4618
Triton Cove,TR,-122.9852,47.6084
Salsbury Point,SA,-122.6088,47.8562
Friday Harbor,FH,-123.0128,48.5458
Cattle Point,CP,-122.963,48.4499
Lime Kiln,LK,-123.1502,48.5137
